fold,vowel,network,feature_idx,mu,lambda,gc,gct,selected
0,2,master,40,0.014727,0.934058,-0.919330,-0.051215,1
0,2,master,41,0.047227,0.892178,-0.844951,-0.060595,1
0,2,master,42,0.028968,0.934934,-0.905966,-0.036098,1
0,2,master,43,0.030998,0.942167,-0.911169,-0.026835,1
0,2,master,44,0.016704,0.943838,-0.927134,-0.039458,1
0,2,master,45,0.020809,0.965246,-0.944437,-0.013946,1
0,2,master,46,0.021018,0.915777,-0.894759,-0.063205,1
0,2,master,47,0.038927,0.959214,-0.920287,-0.001859,1
0,2,master,48,0.013514,0.954005,-0.940491,-0.032481,1
0,2,master,49,0.024629,0.928293,-0.903664,-0.047078,1
0,2,master,50,0.024869,0.935165,-0.910296,-0.039965,1
0,2,master,51,0.021906,0.945043,-0.923137,-0.033051,1
0,2,master,52,0.018493,0.946202,-0.927709,-0.035305,1
0,2,master,53,0.010822,0.942116,-0.931294,-0.047062,1
0,2,master,54,0.039030,0.899286,-0.860256,-0.061684,1
0,2,master,55,0.023994,0.927746,-0.903751,-0.048260,1
0,2,master,56,0.027647,0.944658,-0.917012,-0.027695,1
0,2,master,57,0.015839,0.952658,-0.936819,-0.031503,1
0,2,master,58,0.032425,0.964140,-0.931714,-0.003435,1
0,2,master,59,0.002740,0.980472,-0.977732,-0.016787,1
0,2,master,60,0.005270,0.951332,-0.946062,-0.043398,1
0,2,master,61,0.001919,0.500028,-0.498109,-0.498053,1
0,2,master,62,0.001919,0.500063,-0.498144,-0.498018,1
0,2,master,63,0.007573,0.947958,-0.940386,-0.044469,1
0,2,master,64,0.000793,0.984587,-0.983794,-0.014620,1
0,2,master,65,0.000614,0.965956,-0.965342,-0.033430,1
0,2,master,66,0.000016,0.917945,-0.917929,-0.082038,1
0,2,master,67,0.001423,0.798343,-0.796920,-0.200234,1
0,2,master,68,0.000020,0.998176,-0.998156,-0.001804,1
0,2,master,69,0.000823,0.946330,-0.945507,-0.052847,1
0,2,master,70,0.000016,0.884980,-0.884964,-0.115005,1
0,2,master,71,0.004372,0.889031,-0.884659,-0.106597,1
0,2,master,72,0.002632,0.900090,-0.897458,-0.097278,1
0,2,master,73,0.001346,0.860731,-0.859385,-0.137922,1
0,2,master,74,0.002848,0.820067,-0.817219,-0.177085,1
0,2,master,75,0.001820,0.864790,-0.862970,-0.133390,1
0,2,master,76,0.000586,0.990966,-0.990380,-0.008448,1
0,2,master,77,0.004372,0.889031,-0.884659,-0.106597,1
0,2,master,78,0.002632,0.900090,-0.897458,-0.097278,1
0,2,master,79,0.001345,0.860803,-0.859457,-0.137852,1
0,2,master,80,0.002848,0.820066,-0.817218,-0.177086,1
0,2,master,81,0.001820,0.864791,-0.862971,-0.133389,1
0,2,master,82,0.000593,0.990918,-0.990324,-0.008489,1
0,2,master,83,0.034162,0.617654,-0.583492,-0.348184,1
0,2,master,84,0.000161,0.989154,-0.988993,-0.010684,1
0,2,expert,0,0.009724,0.852378,-0.842654,-0.137898,1
0,2,expert,1,0.009381,0.853965,-0.844584,-0.136654,1
0,2,expert,2,0.012063,0.849833,-0.837770,-0.138104,1
